time,"V(3)","V(4)","V(5)","V(6)"
1.850000e-11,-2.287632e-05,-9.453957e-06,-9.034307e-06,-7.489010e-06
1.875000e-11,-2.288246e-05,-9.439252e-06,-9.032632e-06,-7.477725e-06
1.900000e-11,-2.288453e-05,-9.427489e-06,-9.028965e-06,-7.460261e-06
1.925000e-11,-2.288297e-05,-9.422042e-06,-9.024632e-06,-7.442348e-06
1.950000e-11,-2.287952e-05,-9.423404e-06,-9.020555e-06,-7.429047e-06
1.975000e-11,-2.287608e-05,-9.429587e-06,-9.017308e-06,-7.423351e-06
2.000000e-11,-2.287385e-05,-9.437341e-06,-9.015250e-06,-7.425564e-06
2.025000e-11,-2.287305e-05,-9.443601e-06,-9.014589e-06,-7.433609e-06
2.050000e-11,-2.287315e-05,-9.446552e-06,-9.015344e-06,-7.444043e-06
2.075000e-11,-2.287348e-05,-9.446006e-06,-9.017267e-06,-7.453352e-06
2.100000e-11,-2.287363e-05,-9.443085e-06,-9.019836e-06,-7.459055e-06
2.125000e-11,-2.287367e-05,-9.439477e-06,-9.022346e-06,-7.460267e-06
2.150000e-11,-2.287390e-05,-9.436668e-06,-9.024118e-06,-7.457641e-06
2.175000e-11,-2.287459e-05,-9.435426e-06,-9.024719e-06,-7.452829e-06
2.200000e-11,-2.287571e-05,-9.435712e-06,-9.024102e-06,-7.447739e-06
2.225000e-11,-2.287689e-05,-9.436920e-06,-9.022606e-06,-7.443890e-06
2.250000e-11,-2.287764e-05,-9.438283e-06,-9.020809e-06,-7.442048e-06
2.275000e-11,-2.287760e-05,-9.439233e-06,-9.019309e-06,-7.442198e-06
2.300000e-11,-2.287675e-05,-9.439566e-06,-9.018518e-06,-7.443764e-06
2.325000e-11,-2.287540e-05,-9.439412e-06,-9.018548e-06,-7.445943e-06
2.350000e-11,-2.287411e-05,-9.439063e-06,-9.019223e-06,-7.447999e-06
2.375000e-11,-2.287336e-05,-9.438783e-06,-9.020193e-06,-7.449452e-06
2.400000e-11,-2.287338e-05,-9.438687e-06,-9.021089e-06,-7.450115e-06
2.425000e-11,-2.287406e-05,-9.438731e-06,-9.021654e-06,-7.450048e-06
2.450000e-11,-2.287507e-05,-9.438789e-06,-9.021802e-06,-7.449459e-06
2.475000e-11,-2.287598e-05,-9.438753e-06,-9.021608e-06,-7.448604e-06
2.500000e-11,-2.287646e-05,-9.438600e-06,-9.021231e-06,-7.447726e-06
2.525000e-11,-2.287644e-05,-9.438398e-06,-9.020841e-06,-7.447015e-06
2.550000e-11,-2.287602e-05,-9.438258e-06,-9.020552e-06,-7.446593e-06
2.575000e-11,-2.287545e-05,-9.438266e-06,-9.020405e-06,-7.446506e-06
2.600000e-11,-2.287498e-05,-9.438434e-06,-9.020382e-06,-7.446724e-06
2.625000e-11,-2.287476e-05,-9.438694e-06,-9.020435e-06,-7.447155e-06
2.650000e-11,-2.287478e-05,-9.438936e-06,-9.020522e-06,-7.447665e-06
2.675000e-11,-2.287498e-05,-9.439058e-06,-9.020617e-06,-7.448111e-06
2.700000e-11,-2.287520e-05,-9.439016e-06,-9.020711e-06,-7.448383e-06
2.725000e-11,-2.287537e-05,-9.438839e-06,-9.020800e-06,-7.448427e-06
2.750000e-11,-2.287543e-05,-9.438609e-06,-9.020877e-06,-7.448264e-06
2.775000e-11,-2.287541e-05,-9.438421e-06,-9.020926e-06,-7.447970e-06
2.800000e-11,-2.287537e-05,-9.438344e-06,-9.020931e-06,-7.447652e-06
2.825000e-11,-2.287533e-05,-9.438393e-06,-9.020886e-06,-7.447407e-06
2.850000e-11,-2.287532e-05,-9.438532e-06,-9.020801e-06,-7.447296e-06
2.875000e-11,-2.287533e-05,-9.438694e-06,-9.020701e-06,-7.447328e-06
2.900000e-11,-2.287533e-05,-9.438813e-06,-9.020618e-06,-7.447467e-06
2.925000e-11,-2.287531e-05,-9.438851e-06,-9.020578e-06,-7.447650e-06
2.950000e-11,-2.287527e-05,-9.438810e-06,-9.020592e-06,-7.447812e-06
2.975000e-11,-2.287523e-05,-9.438719e-06,-9.020651e-06,-7.447910e-06
3.000000e-11,-2.287520e-05,-9.438622e-06,-9.020730e-06,-7.447927e-06
3.025000e-11,-2.287521e-05,-9.438557e-06,-9.020801e-06,-7.447877e-06
3.050000e-11,-2.287525e-05,-9.438541e-06,-9.020841e-06,-7.447790e-06
3.075000e-11,-2.287530e-05,-9.438570e-06,-9.020842e-06,-7.447702e-06
3.100000e-11,-2.287535e-05,-9.438621e-06,-9.020810e-06,-7.447638e-06
3.125000e-11,-2.287536e-05,-9.438672e-06,-9.020761e-06,-7.447612e-06
3.150000e-11,-2.287535e-05,-9.438702e-06,-9.020715e-06,-7.447620e-06
3.175000e-11,-2.287532e-05,-9.438707e-06,-9.020686e-06,-7.447651e-06
3.200000e-11,-2.287528e-05,-9.438691e-06,-9.020680e-06,-7.447691e-06
3.225000e-11,-2.287525e-05,-9.438666e-06,-9.020693e-06,-7.447726e-06
3.250000e-11,-2.287525e-05,-9.438644e-06,-9.020717e-06,-7.447747e-06
3.275000e-11,-2.287526e-05,-9.438632e-06,-9.020742e-06,-7.447754e-06
3.300000e-11,-2.287528e-05,-9.438632e-06,-9.020758e-06,-7.447748e-06
3.325000e-11,-2.287530e-05,-9.438638e-06,-9.020765e-06,-7.447734e-06
3.350000e-11,-2.287531e-05,-9.438648e-06,-9.020762e-06,-7.447718e-06
3.375000e-11,-2.287531e-05,-9.438655e-06,-9.020754e-06,-7.447705e-06
3.400000e-11,-2.287530e-05,-9.438658e-06,-9.020744e-06,-7.447696e-06
3.425000e-11,-2.287529e-05,-9.438658e-06,-9.020736e-06,-7.447693e-06
3.450000e-11,-2.287529e-05,-9.438656e-06,-9.020731e-06,-7.447695e-06
3.475000e-11,-2.287529e-05,-9.438655e-06,-9.020729e-06,-7.447701e-06
3.500000e-11,-2.287529e-05,-9.438654e-06,-9.020730e-06,-7.447708e-06
3.525000e-11,-2.287529e-05,-9.438654e-06,-9.020732e-06,-7.447715e-06
3.550000e-11,-2.287529e-05,-9.438654e-06,-9.020734e-06,-7.447719e-06
3.575000e-11,-2.287529e-05,-9.438653e-06,-9.020738e-06,-7.447720e-06
3.600000e-11,-2.287529e-05,-9.438652e-06,-9.020741e-06,-7.447719e-06
3.625000e-11,-2.287529e-05,-9.438650e-06,-9.020743e-06,-7.447716e-06
3.650000e-11,-2.287529e-05,-9.438650e-06,-9.020745e-06,-7.447712e-06
3.675000e-11,-2.287529e-05,-9.438650e-06,-9.020744e-06,-7.447709e-06
3.700000e-11,-2.287529e-05,-9.438652e-06,-9.020742e-06,-7.447707e-06
3.725000e-11,-2.287529e-05,-9.438654e-06,-9.020740e-06,-7.447707e-06
3.750000e-11,-2.287530e-05,-9.438655e-06,-9.020737e-06,-7.447708e-06
3.775000e-11,-2.287529e-05,-9.438656e-06,-9.020735e-06,-7.447710e-06
3.800000e-11,-2.287529e-05,-9.438655e-06,-9.020734e-06,-7.447712e-06
3.825000e-11,-2.287529e-05,-9.438654e-06,-9.020735e-06,-7.447713e-06
3.850000e-11,-2.287529e-05,-9.438652e-06,-9.020737e-06,-7.447714e-06
3.875000e-11,-2.287529e-05,-9.438651e-06,-9.020739e-06,-7.447713e-06
3.900000e-11,-2.287529e-05,-9.438651e-06,-9.020741e-06,-7.447713e-06
3.925000e-11,-2.287529e-05,-9.438651e-06,-9.020742e-06,-7.447712e-06
